product_id,factor_id,coefficient
11,7,1.8
12,7,-
14,7,
16,7,-
19,7,
20,7,-
22,7,-
26,7,-
27,7,-
28,7,0.73
29,7,-
30,7,0.63
33,7,
35,7,
36,7,0.82
37,7,0.82
38,7,
40,7,0.88
41,7,0.88
42,7,-
44,7,
45,7,
47,7,0.99
48,7,-
72,7,-
74,7,-
79,7,-
81,7,0.65
82,7,
84,7,0.92
86,7,0.92
87,7,
88,7,-
89,7,-
91,7,
92,7,1.13
95,7,0.73
96,7,
97,7,-
104,7,-
105,7,
110,7,
112,7,-
114,7,0.73
115,7,
136,7,
137,7,0.65
138,7,
139,7,0.8
141,7,0.75
142,7,0.69
143,7,0.9
146,7,-
147,7,
148,7,0.75
150,7,-
151,7,-
152,7,
155,7,1.0
156,7,1.0
158,7,0.56
159,7,
160,7,0.75
166,7,-
167,7,-
168,7,-
169,7,
170,7,
172,7,
174,7,
177,7,
178,7,0.88
180,7,0.64
183,7,0.88
184,7,0.87
185,7,0.87
186,7,0.87
187,7,0.6
188,7,
189,7,
190,7,-
191,7,
192,7,
193,7,-
197,7,-
198,7,0.5
200,7,-
201,7,0.5
202,7,-
203,7,-
206,7,-
207,7,-
209,7,-
210,7,-
212,7,-
214,7,-
219,7,
220,7,
224,7,0.85
226,7,
230,7,
241,7,0.68
243,7,-
244,7,
248,7,
261,7,
262,7,
281,7,0.73
282,7,2.9
287,7,-
288,7,
294,7,-
296,7,-
298,7,-
300,7,-
301,7,0.8
303,7,
305,7,
307,7,
308,7,-
309,7,
310,7,
313,7,0.49
314,7,-
315,7,-
323,7,0.78
326,7,
333,7,
334,7,
335,7,
340,7,-
340,7,
356,7,
358,7,
363,7,
367,7,
368,7,
370,7,-
371,7,-
372,7,
383,7,
384,7,-
385,7,-
386,7,
389,7,0.8
390,7,0.8
391,7,-
392,7,
393,7,
395,7,-
396,7,0.62
397,7,
401,7,
404,7,
405,7,0.65
407,7,-
409,7,0.78
411,7,0.78
412,7,-
413,7,-
414,7,
419,7,-
420,7,
427,7,
428,7,
429,7,
431,7,-
432,7,-
433,7,-
435,7,0.73
436,7,0.88
437,7,0.88
438,7,
439,7,0.82
440,7,
443,7,
444,7,
445,7,
446,7,
448,7,
452,7,
460,7,
461,7,
462,7,
463,7,
464,7,0.63
465,7,
466,7,0.65
467,7,0.65
469,7,0.63
471,7,0.78
472,7,-
474,7,
476,7,-
478,7,-
481,7,
484,7,0.63
486,7,0.72
488,7,0.8
492,7,
493,7,
493,7,
496,7,
497,7,0.75
498,7,-
499,7,
500,7,0.65
502,7,-
509,7,0.78
515,7,0.6
516,7,-
519,7,0.5
520,7,
521,7,-
526,7,-
649,7,-
667,7,
669,7,
676,7,
677,7,
678,7,
679,7,
680,7,
681,7,
682,7,
683,7,-
684,7,0.8
685,7,0.85
686,7,
687,7,0.8
688,7,0.8
689,7,-
690,7,-
691,7,-
692,7,
693,7,
694,7,-
695,7,-
696,7,
