bls_code,name,product_category_id,price,protein,fat,carbohydrate,fiber,total_sugar,saturated_fat,kilocalories,kilocalories_with_fiber
M820700, Сливочный сыр не менее  50% жирности   ,47,111,8877,24000,2480,0,2480,17150,260,260
M820600, Сливочный сыр  не менее  45% жирности   ,47,111,8512,13000,4374,0,4374,9394,167,167
B651000, Хрустящий хлебец из смешанной пшеничной муки,25,111,12982,2283,69759,6453,2836,304,356,369
B621000, Хрустящий хлебец из смешанной ржаной муки ,25,111,8580,1189,67728,14875,5964,121,321,349
B626300, Хрустящий хлебец из ржаной пшеничной муки с кунжутом,25,111,10327,7734,61038,11916,5298,1190,359,381
B656300, Хрустящий хлебец из смешанной пшеничной муки с кунжутом,25,111,13755,7419,62985,6922,2533,1114,377,391
B625300, Хрустящий хлебец из смешанной ржаной муки со злаками,25,111,9993,2874,67912,10201,3858,492,342,361
B655300, Хрустящий хлебец из смешанной пшеничной муки со злаками,25,111,12256,2951,68786,7032,1988,482,355,369
B626200, Хрустящий хлебец из смешанной ржаной муки с семенами льна,25,111,10562,6142,61168,13363,5512,675,346,371
B656200, Хрустящий хлебец из смешанной пшеничной муки с семенами льна,25,111,13990,5970,63116,8206,2722,649,366,382
F201400,Абрикос сушеный (курага),18,111,5000,500,47870,17650,43270,27,238,272
F201101,Абрикос целый,16,111,819,118,7771,1401,7041,6,39,41
F031600,Абрикосовый / апельсиновый сок,1,111,683,100,8125,0,7789,12,40,40
F201800,Абрикосовый джем,1,111,300,131,60620,600,53740,5,250,251
F201600,Абрикосовый сок,1,111,820,105,9142,0,8412,5,45,45
F502100,Авокадо сырое целое,16,111,1370,12500,3550,4100,1370,2589,130,138
F140101,Айва сырая целая,16,111,353,420,6149,4973,6143,32,32,42
F501200,Ананас замороженный ,16,111,480,157,12947,1462,12947,16,58,61
F501902,Ананас консервированный без жидкости,18,111,400,200,15200,900,15200,22,67,69
F501101,Ананас сырой целый,16,111,248,81,6696,756,6696,8,30,32
F501600,Ананасовый сок,1,111,400,100,9710,0,9709,11,44,44
F603101,Апельсин сырой целый,16,111,720,144,5940,1584,5940,20,31,34
F603600,Апельсиновый сок,1,111,680,140,8693,410,8520,21,43,44
H110101,Арахис сырой цельный,19,111,20843,33670,5236,8217,1845,6356,403,419
F535101,Арбуз сырой целиком,16,111,264,88,3648,97,3648,26,17,17
R231000,Базилик сушеный,15,111,14000,4000,43000,17800,42570,736,268,301
G061000,Базилик сырой,15,111,3100,800,5100,3111,5049,147,41,47
G510101,Баклажаны сырые целые,15,111,1017,148,2042,1148,1783,32,14,16
F503101,Банан сырой целый,16,111,771,121,13420,1340,11571,41,60,63
U701000,Баранина нежирная сырая,29,111,19550,6760,0,0,0,2672,139,139
U702000,Баранина средней жирности сырая,29,111,17160,17222,0,0,0,7641,222,222
S830000,Батончик мюсли,28,111,8328,19325,42240,4902,29942,2005,378,387
C420022,Мука гречневая без глютена ,22,111,1826,271,28011,1002,168,47,123,125
C415000,Мучная смесь без глютена  для хлеба ,22,111,2044,617,81506,3201,255,72,345,351
C352000,Белый рис сырой,22,111,7360,620,77730,2100,306,137,351,355
B311000,Белый пшеничный хлеб,25,111,8200,1199,48843,3190,1169,301,242,248
B312000,Белый пшеничный хлеб из муки грубого помола,25,111,7388,1345,48164,2676,1174,330,238,243
B315200,Белый пшеничный хлеб с отрубями,25,111,8642,1394,47080,5562,1468,323,239,249
B309000,Белый хлеб без глютена,25,111,1401,1935,56862,2421,155,230,254,258
G740902,"Фасоль огненно-красная консервированная ,без жидкости",17,111,6659,476,10040,2949,3830,101,73,79
G740900,Фасоль огненно-красная консервированная с жидкостью,17,111,4634,331,7860,1986,2998,70,54,58
G740100,Фасоль огненно-красная сырая,20,111,7000,500,12501,3000,4769,105,84,90
G750900,Соевые бобы консервированные с жидкостью,20,111,7872,3902,6535,1984,2493,464,93,97
G312200,Брокколи глубокой заморозки,15,111,4158,220,2781,3300,2317,40,31,37
G312101,Брокколи сырая целая,15,111,2457,130,1730,1950,1441,24,18,22
G332200,Брюссельская капуста глубокой заморозки,15,111,4879,373,3427,4824,2751,61,39,48
G332101,Брюссельская капуста сырая ,15,111,3471,265,2566,3432,2061,43,28,34
C119100,Булгур,22,111,9000,1000,68910,10300,827,146,325,345
B720300,Булочка из гречневой муки,26,111,7677,1775,49500,3901,1135,401,248,255
B740300,Булочка из кукурузной муки,26,111,8417,2195,46987,5281,1312,437,245,255
B451000,Булочка из муки грубого помола,26,111,8685,1486,46116,8257,1080,214,236,252
B880500,Булочка из пшеницы грубого помола на дрожжах,26,111,7782,1417,50730,2819,1236,346,250,256
B730300,Булочка из пшенной муки,26,111,7828,1964,48823,3738,1037,452,247,255
B750300,Булочка из рисовой муки,26,111,8103,1740,49714,3730,1085,406,250,257
D771500,Булочка из слоеного теста,26,111,8218,27421,48350,2410,2464,11238,472,477
B471000,Булочка из смешанной цельнозерновой ржаной муки ,26,111,8407,1392,46146,8698,1145,197,234,251
B481000,Булочка из цельнозерновой /ржаной муки,26,111,8407,1392,46146,8698,1145,197,234,251
B411000,Булочка из цельнозерновой муки,26,111,8341,1537,42351,6655,1062,223,219,232
B415400,Булочка из цельнозерновой муки с изюмом,26,111,7855,1456,44469,6535,6515,222,226,239
B406300,Булочка из цельнозерновой муки с кунжутом,26,111,8905,3730,40908,6858,1023,563,235,248
B415200,Булочка из цельнозерновой муки с отрубями,26,111,8768,1710,40978,8796,1112,250,217,234
B421000,Булочка из цельнозерновой ржаной муки ,26,111,7235,1013,39459,8053,794,143,199,214
B425400,Булочка из цельнозерновой ржаной муки  с изюмом,26,111,6877,978,41598,7839,5762,149,207,222
B426300,Булочка из цельнозерновой ржаной муки с кунжутом,26,111,7811,3094,38226,8185,769,466,214,230
B426400,Булочка из цельнозерновой ржаной муки с маком,26,111,7934,2749,37973,8578,764,341,211,227
B591000,Булочка изделие из мультизерновой муки,26,111,8271,1491,51211,6444,1307,351,255,267
B531000,Булочка из овсяной муки,26,111,8231,1899,45920,4873,2073,310,237,246
G002900,Бурые водоросли консервированные с жидкостью,30,111,1106,368,5131,856,5079,162,29,31
G002100,Бурые водоросли сырые,30,111,1680,560,8200,1300,8118,247,46,48
F401800,Варенье из брусники,18,111,103,195,65323,1065,65279,8,269,271
F212800,Варенье из вишни,18,111,500,101,60750,500,58020,23,251,252
F303800,Варенье из ежевики,18,111,500,350,63130,1200,57800,21,261,263
S161032,Варенье из сливы,18,111,940,220,48010,2460,42300,39,196,200
F323800,Варенье из черной смородины,18,111,472,81,65283,1289,65283,10,271,273
F312101,Виноград белый сырой цельный,16,111,653,269,14630,1536,14530,62,67,70
F311101,Виноград красный цельный,16,111,653,269,14630,1536,14530,62,67,70
G291100,Виноградные листья  сырые,18,111,5600,2120,17310,11000,14713,373,114,135
F212200,Вишня глубокой заморозки,16,111,940,522,10320,1149,9355,116,54,57
F210100,Вишня сырая,16,111,900,310,13270,1900,11656,70,60,64
F212100,Вишня сырая (черешня),16,111,900,500,9880,1100,9880,110,52,54
U100100,Говядина сырая,29,111,19600,8580,0,0,0,3724,155,155
G760400,Горох зеленый сушеный ,20,111,22900,1441,41220,16600,3281,284,276,308
G760100,Горох зеленый сырой,20,111,6550,480,12300,5000,1303,108,82,91
G760200,Горошек зеленый глубокой заморозки,20,111,7128,522,12716,5441,1282,103,86,96
G760902,"Горошек зеленый консервированный ,без жидкости,",17,111,5128,500,6061,6256,3791,97,51,63
G760900,Горошек зеленый консервированный с жидкостью,17,111,3600,351,4787,4250,3137,68,38,46
F506101,Гранат сырой целый,16,111,245,210,5635,784,5635,50,26,28
F604101,Грейпфрут сырой целый,16,111,396,99,4891,396,4891,22,29,30
H120101,Грецкие орехи сырые целые,19,111,6910,30358,2619,1978,2619,2832,307,311
H120100,Грецкий орех сырой,19,111,16070,70600,6091,4600,2680,6516,714,723
C327000,Гречневая крупа,22,111,8125,1550,72630,3220,436,270,342,348
C423000,Гречневая мука,22,111,5100,800,78250,2800,469,139,346,351
B720200,Гречневый хлеб,25,111,7297,1687,47050,3708,1078,383,236,243
V486200,Грудка индейки глубокой заморозки,29,111,24100,990,0,0,0,370,107,107
V486100,Грудка индейки сырая,29,111,24100,990,0,0,0,370,107,107
F130400,Груша сушеная,18,111,2270,1401,59749,13523,49587,189,252,278
F130101,Груша сырая целая,16,111,437,270,11504,2604,9548,36,48,54
M174700,Густая сметана 20% жирности,39,111,2800,20001,3600,0,3600,12134,205,205
M174800,Густая сметана 30% жирности,39,111,2500,30001,2400,0,2400,18201,288,288
F306800,Джем из ежемалины,18,111,405,0,64284,2063,64284,0,265,269
D074100,"Дрожжевое тесто облегченное, сырое",26,111,7798,6190,55205,2043,7938,3660,311,315
X915512,Дрожжевое тесто средней жирности (приготовленное на воде),26,111,6388,7222,45555,1591,7880,4201,275,278
D074200,"Дрожжевое тесто средней жирности, сырое",26,111,7355,10549,44531,1627,7636,6262,304,307
R422000,Дрожжи,52,111,35600,1500,32000,21000,3840,202,288,328
R468000,Желатин,52,111,84200,100,0,0,0,14,343,343
M711100,Зернистый творог  <10% жирности   ,42,111,13300,1401,3300,0,3300,851,81,81
M711200,Зернистый творог не менее  10% жирности   ,42,111,13600,2900,1600,0,1600,1760,90,90
M711300,Зернистый творог не менее  20% жирности   ,42,111,12300,4301,3300,0,3300,2311,104,104
F840100,Изюм,18,111,2460,550,68000,5200,67100,216,304,314
F840200,Изюм,18,111,2460,550,68000,5200,67108,216,304,314
D650500,Имбирный пряник,28,111,10956,14079,53968,3544,34650,1823,388,395
R211000,Имбирь сушеный,17,111,7400,3300,60000,5910,59400,956,304,315
V480200,Индейка глубокой заморозки,29,111,20200,8500,0,0,0,2203,157,157
V480100,Индейка сырая,29,111,20200,8500,0,0,0,2203,157,157
M140200,"Йогурт   (общее понятие ) 1,5% жирности",40,111,3550,1601,4490,0,4490,1005,49,49
M140300,"Йогурт   (общее понятие ) 3,5% жирности",40,111,3880,3751,4370,0,4370,2248,69,69
M2P2300,"Йогурт  3,5% жирности с пробиотиком",40,111,3880,3751,4370,0,4370,2248,69,69
M141200,"Йогурт 1,5% жирности",40,111,3550,1601,4490,0,4490,960,49,49
M1B2200,"Йогурт 1,5% жирности без лактозы",40,111,3550,1601,4490,0,4490,1005,49,49
M27200,"Йогурт 1,5% жирности с мюсли",40,111,4759,2483,24923,2753,15095,862,145,150
M29200,"Йогурт 1,5% жирности с мюсли несладкий",40,111,5039,2590,14847,2655,5508,960,106,111
M2P1200,"Йогурт 1,5% жирности с пробиотиком",40,111,3550,1601,4490,0,4490,1005,49,49
M285200,"Йогурт 1,5% жирности с фруктами несладкий",40,111,3051,1309,7474,1213,7149,803,57,59
M141300,"Йогурт 3,5% жирности",40,111,3880,3751,4370,0,4370,2263,69,69
M1E3300,"Йогурт 3,5% жирности без лактозы",40,111,3880,3751,4370,0,4370,2248,69,69
M2R7300,"Йогурт 3,5% жирности с мюсли",40,111,4231,3620,19336,1777,14398,1847,130,133
M28300,"Йогурт 3,5% жирности с мюсли несладкий",40,111,5303,4310,14751,2655,5412,1976,122,127
M2L7300,"Йогурт 3,5% жирности с фруктами и мюсли",40,111,3955,3299,20881,1983,15805,1652,132,136
M2L6300,"Йогурт 3,5% жирности с фруктами и мюсли несладкий",40,111,4272,3644,10792,1885,6204,1891,96,99
M2M7300,"Йогурт 3,5% жирности с фруктами и пробиотиком несладкий",40,111,3312,3008,7379,1213,7055,1785,72,75
M2B3300,"Йогурт 3,5% жирности с фруктами несладкий",40,111,3312,3008,7379,1213,7055,1785,72,75
M2C3200,"Йогуртовый напиток 1,5% жирности несладкий",41,111,3503,1601,4583,0,4583,1029,49,49
M2L2200,"Йогуртовый напиток 1,5% жирности с фруктами",41,111,2882,1298,15572,206,15434,821,88,89
M2F6300,"Йогуртовый напиток 3,5% жирности",41,111,3443,3331,13064,800,13014,2071,98,100
M2F5300,"Йогуртовый напиток 3,5% жирности несладкий",41,111,3797,3671,4472,800,4422,2271,68,70
R114000,Йодированная соль,51,111,0,0,0,0,0,0,0,0
G587100,Кабачки сырые,15,111,500,200,2200,1100,1738,48,13,16
S710000,Какао порошок,50,111,22610,19800,17830,26320,17830,12451,339,390
T311200,Камбала глубокой заморозки,30,111,16500,700,0,0,0,145,73,73
T311100,Камбала нарезанная сырая,30,111,16500,700,0,0,0,173,73,73
G342101,Капуста белокочанная сырая целая,15,111,1073,148,3259,2340,3131,25,19,24
K120101,Картофель  сырой целый,15,111,1552,11,12493,984,562,3,59,60
X530363,Квашеная капуста (6),17,111,2778,6201,2305,1414,2017,2421,81,84
M130200,"Кефир 1,5% жирности",41,111,3300,3501,3600,0,3600,2124,65,65
M130300,"Кефир 3,5% жирности",41,111,3230,3501,3600,0,3600,2124,64,64
F514101,Киви сырые целые,16,111,870,548,7934,3393,7710,129,47,54
C118000,Киноа сырая,22,111,12190,5940,62440,6860,1816,532,355,369
G321100,Пекинская капуста сырая целая,15,111,1070,300,1242,1700,1242,74,13,16
F301200,Клубника глубокой заморозки,16,111,859,419,5769,2094,5706,32,34,38
F301101,Клубника сырая целая,16,111,795,388,5345,1940,5287,30,31,35
F301800,Клубничный джем,18,111,300,200,62550,800,58660,16,258,260
F414400,Клюква сушеная,18,111,530,340,75520,3900,67460,0,312,319
M051000,Кобылье молоко ,12,111,2200,1501,6200,0,6200,910,48,48
M021000,Козье молоко,12,111,3690,3921,4200,0,4200,2552,67,67
G331200,Кольраби глубокой заморозки,15,111,2141,177,3879,1655,3730,34,27,30
G331100,Кольраби сырая,15,111,1940,160,3700,1500,3704,28,25,28
V111200,Конина нежирная глубокой заморозки,29,111,20600,2670,400,0,0,910,109,109
V111100,Конина нежирная сырая,29,111,20600,2670,400,0,0,910,109,109
R211200,Корень имбиря,15,111,1199,1000,9000,1100,8910,290,50,53
G341101,Краснокочанная капуста сырая целая,15,111,1170,140,2761,1950,2705,28,18,21
R470000,Крахмал,38,111,431,80,85900,1000,0,9,351,353
D050000,Крекеры,28,111,11090,3225,75044,3819,1083,1000,379,386
B780800,Крекеры легкие и хрустящие,28,111,12982,2283,69759,6453,2836,304,356,369
D771600,Круассан из слоеного теста,26,111,7487,33400,45281,2157,5280,15287,510,514
C148300,Крупа перловая ,22,111,10399,1360,70960,4600,2200,251,342,351
G570200,Кукуруза глубокой заморозки,15,111,3548,1330,17003,3029,3627,182,96,102
G570101,Кукуруза сырая целая,15,111,1181,443,5659,1008,1207,61,32,34
C347000,Кукурузная крупа,22,111,8800,1100,73757,5000,1476,149,345,354
C443000,Кукурузная мука,22,111,8663,2820,66290,9420,1325,360,329,347
