product_id,factor_id,coefficient
81,2,0.65
484,2,0.63
464,2,0.64
477,2,0.78
158,2,0.56
30,2,0.63
187,2,0.75
178,2,0.88
180,2,0.75
486,2,0.72
114,2,0.73
281,2,0.73
95,2,0.73
186,2,0.88
184,2,0.9
185,2,0.9
404,2,
684,2,0.8
685,2,0.85
686,2,
224,2,0.85
688,2,0.8
139,2,0.79
389,2,0.8
390,2,0.8
488,2,0.8
687,2,0.8
438,2,
439,2,0.82
301,2,0.8
443,2,
444,2,
226,2,
230,2,
115,2,
429,2,
401,2,
460,2,
428,2,
463,2,
462,2,
461,2,
414,2,
334,2,
307,2,
170,2,
392,2,
420,2,
452,2,
335,2,
244,2,
481,2,
448,2,
188,2,
147,2,
689,2,-
35,2,-
526,2,-
383,2,-
214,2,-
649,2,-
287,2,-
294,2,-
48,2,-
203,2,-
690,2,-
384,2,-
206,2,-
207,2,-
314,2,-
315,2,-
168,2,-
367,2,
91,2,
356,2,
201,2,0.34
142,2,0.69
516,2,-
478,2,-
42,2,
515,2,0.6
148,2,0.75
405,2,0.65
411,2,0.78
497,2,0.75
198,2,0.5
396,2,0.62
141,2,0.75
137,2,0.65
469,2,0.63
436,2,0.88
28,2,0.73
159,2,
300,2,-
166,2,-
167,2,-
409,2,0.78
45,2,
44,2,
437,2,0.88
156,2,1.0
155,2,
370,2,-
143,2,0.9
200,2,
47,2,0.99
84,2,0.92
160,2,0.75
197,2,-
371,2,-
391,2,-
471,2,0.78
323,2,0.78
241,2,0.68
500,2,0.65
519,2,0.5
82,2,
282,2,2.9
474,2,
432,2,-
435,2,0.73
86,2,0.92
683,2,-
40,2,0.88
41,2,0.88
296,2,
298,2,
303,2,
466,2,0.65
467,2,0.65
305,2,
521,2,-
12,2,-
212,2,-
16,2,-
691,2,-
146,2,-
29,2,-
209,2,-
150,2,-
20,2,-
412,2,-
431,2,-
79,2,-
97,2,-
22,2,-
326,2,
502,2,-
87,2,
88,2,-
413,2,-
190,2,-
496,2,
220,2,
19,2,
427,2,
333,2,-
520,2,-
96,2,-
152,2,
11,2,
110,2,-
693,2,1.06
694,2,1.06
695,2,1.06
696,2,1.06
692,2,
177,2,
309,2,
89,2,-
472,2,-
407,2,
136,2,
26,2,-
112,2,-
476,2,-
433,2,-
193,2,-
313,2,0.49
104,2,-
105,2,
243,2,-
27,2,-
202,2,-
308,2,-
189,2,-
445,2,
368,2,
446,2,
498,2,-
38,2,
509,2,-
36,2,-
340,2,-
37,2,-
440,2,
465,2,
492,2,
493,2,
288,2,-
310,2,-
92,2,-
169,2,-
385,2,-
33,2,-
172,2,-
174,2,-
248,2,
261,2,-
262,2,-
358,2,-
363,2,-
372,2,-
386,2,-
676,2,0.5
677,2,0.5
678,2,
679,2,
680,2,
681,2,
682,2,
419,2,-
210,2,-
74,2,-
72,2,-
191,2,
395,2,-
393,2,
151,2,-
14,2,
219,2,
667,2,
192,2,
669,2,
340,2,
397,2,
138,2,
499,2,
