product_id,factor_id,nutrient_id,coefficient
177,6,16,0.75
177,2,16,0.75
177,5,16,0.75
216,5,16,0.85
220,5,16,0.85
216,8,16,0.8
220,8,16,0.8
178,2,16,0.6
178,6,16,0.6
174,3,16,0.7
178,8,16,0.6
174,2,16,0.7
172,3,16,0.95
92,6,16,0.6
109,8,16,0.6
92,3,16,0.7
256,6,16,0.95
424,6,16,0.95
419,6,16,0.85
424,2,16,0.85
424,3,16,0.65
424,7,16,0.7
424,8,16,0.7
152,6,16,0.65
152,2,16,0.7
152,5,16,0.35
152,3,16,0.7
30,3,16,0.65
30,7,16,0.7
30,8,16,0.95
456,6,16,0.4
12,6,16,0.4
29,6,16,0.4
16,6,16,0.4
77,6,16,0.4
94,6,16,0.4
22,6,16,0.4
287,6,16,0.4
181,6,16,0.4
19,6,16,0.5
456,3,16,0.5
12,3,16,0.5
29,3,16,0.5
16,3,16,0.5
77,3,16,0.5
94,3,16,0.5
287,3,16,0.5
371,6,16,0.6
294,6,16,0.6
455,6,16,0.6
93,6,16,0.6
146,6,16,0.6
11,6,16,0.6
106,6,16,0.6
371,3,16,0.5
294,3,16,0.5
455,3,16,0.5
93,3,16,0.5
146,3,16,0.5
11,3,16,0.5
106,3,16,0.5
181,5,16,0.7
22,5,16,0.7
192,6,16,0.75
450,6,16,0.75
350,6,16,0.75
355,6,16,0.75
433,6,16,0.75
189,6,16,0.75
341,6,16,0.75
135,6,16,0.75
132,6,16,0.75
380,6,16,0.75
28,6,16,0.75
160,6,16,0.75
161,6,16,0.75
45,6,16,0.75
44,6,16,0.75
381,6,16,0.75
150,6,16,0.75
149,6,16,0.75
47,6,16,0.75
82,6,16,0.75
154,6,16,0.75
413,6,16,0.75
231,6,16,0.75
436,6,16,0.75
454,6,16,0.75
376,6,16,0.75
416,6,16,0.75
184,6,16,0.75
191,6,16,0.75
192,5,16,0.65
450,5,16,0.65
350,5,16,0.65
355,5,16,0.65
433,5,16,0.65
189,5,16,0.65
341,5,16,0.65
135,5,16,0.65
132,5,16,0.65
380,5,16,0.65
28,5,16,0.65
160,5,16,0.65
161,5,16,0.65
45,5,16,0.65
44,5,16,0.65
381,5,16,0.65
150,5,16,0.65
149,5,16,0.65
82,5,16,0.65
154,5,16,0.65
413,5,16,0.65
231,5,16,0.65
436,5,16,0.65
454,5,16,0.65
376,5,16,0.65
416,5,16,0.75
191,5,16,0.75
192,2,16,0.85
450,2,16,0.85
350,2,16,0.85
355,2,16,0.85
433,2,16,0.85
341,2,16,0.85
135,2,16,0.85
132,2,16,0.85
380,2,16,0.85
28,2,16,0.85
161,2,16,0.85
45,2,16,0.85
381,2,16,0.85
150,2,16,0.85
154,2,16,0.85
413,2,16,0.85
231,2,16,0.85
436,2,16,0.85
454,2,16,0.85
376,2,16,0.85
82,5,16,0.55
149,5,16,0.55
44,5,16,0.55
160,5,16,0.55
82,8,16,0.55
149,8,16,0.55
44,8,16,0.55
160,8,16,0.55
192,4,16,0.8
450,4,16,0.8
350,4,16,0.8
355,4,16,0.8
433,4,16,0.8
341,4,16,0.8
135,4,16,0.8
132,4,16,0.8
380,4,16,0.8
28,4,16,0.8
161,4,16,0.8
45,4,16,0.8
381,4,16,0.8
150,4,16,0.8
154,4,16,0.8
413,4,16,0.8
231,4,16,0.8
436,4,16,0.8
454,4,16,0.8
376,4,16,0.8
136,6,16,0.75
136,5,16,0.9
136,2,16,0.75
136,4,16,0.75
411,6,16,0.7
411,7,16,0.7
594,6,16,0.8
595,6,16,0.8
596,6,16,0.8
597,6,16,0.8
279,6,16,0.8
87,6,16,0.8
352,6,16,0.8
594,7,16,0.8
595,7,16,0.8
596,7,16,0.8
597,7,16,0.8
279,7,16,0.8
87,7,16,0.8
352,7,16,0.8
383,6,16,0.9
383,7,16,0.9
383,2,16,0.9
383,5,16,0.8
585,5,16,0.9
585,6,16,0.9
585,3,16,0.9
214,3,16,0.9
214,7,16,0.9
214,5,16,0.8
80,5,16,0.45
420,5,16,0.5
420,6,16,0.4
451,5,16,0.7
257,5,16,0.3
406,3,16,0.75
406,2,16,0.85
406,2,16,0.75
406,8,16,0.6
319,6,16,0.7
319,4,16,0.7
328,6,16,0.9
198,6,16,0.7
198,5,16,0.7
198,6,16,0.5
591,5,16,0.7
90,6,16,0.9
89,8,16,0.6
159,8,16,0.6
162,8,16,0.6
205,8,16,0.6
262,8,16,0.6
285,8,16,0.6
317,8,16,0.6
461,8,16,0.6
561,8,16,0.6
562,8,16,0.6
89,5,16,0.7
159,5,16,0.7
162,5,16,0.7
205,5,16,0.7
262,5,16,0.7
285,5,16,0.7
317,5,16,0.7
461,5,16,0.7
561,5,16,0.7
562,5,16,0.7
