product_category_id,factor_id,micro_id,coefficient
12,5,33,1.0
12,8,33,1.0
15,6,33,1.0
15,5,33,1.05
15,2,33,1.0
15,8,33,1.0
15,4,33,1.0
16,6,33,1.9
16,3,33,1.1
17,5,33,1.65
17,6,33,1.35
18,6,33,1.1
18,3,33,1.1
18,5,33,1.0
19,6,33,1.0
19,7,33,1.0
22,8,33,1.05
22,5,33,1.05
22,6,33,1.0
22,4,33,1.0
23,6,33,1.0
23,5,33,1.1
29,2,33,1.05
29,6,33,1.05
29,3,33,1.0
29,8,33,1.1
29,7,33,1.0
29,5,33,1.05
30,6,33,1.0
30,7,33,1.0
30,2,33,1.0
30,5,33,1.0
30,3,33,1.0
32,6,33,1.0
32,2,33,1.0
32,5,33,1.0
47,6,33,1.0
