product_id,factor_id,nutrient_id,coefficient
620,6,2,0.92
620,2,2,0.92
620,5,2,0.95
226,5,2,0.94
230,5,2,0.94
226,8,2,0.92
230,8,2,0.92
187,2,2,0.9
187,6,2,0.9
183,3,2,0.9
187,8,2,0.9
183,2,2,0.9
178,3,2,0.95
95,6,2,0.95
114,8,2,0.95
95,3,2,0.95
281,6,2,0.95
484,6,2,0.95
477,6,2,0.95
484,2,2,0.9
484,3,2,0.9
484,7,2,0.9
484,8,2,0.9
158,6,2,0.9
158,2,2,0.9
158,5,2,0.9
158,3,2,0.9
30,3,2,0.9
30,7,2,0.9
30,8,2,0.9
521,6,2,0.95
12,6,2,0.95
29,6,2,0.95
16,6,2,0.95
79,6,2,0.95
97,6,2,0.95
22,6,2,0.95
326,6,2,0.95
190,6,2,0.95
19,6,2,0.95
521,3,2,0.95
12,3,2,0.95
29,3,2,0.95
16,3,2,0.95
79,3,2,0.95
97,3,2,0.95
326,3,2,0.95
427,6,2,0.98
333,6,2,0.98
520,6,2,0.98
96,6,2,0.98
152,6,2,0.98
11,6,2,0.98
110,6,2,0.98
427,3,2,0.98
333,3,2,0.98
520,3,2,0.98
96,3,2,0.98
152,3,2,0.98
11,3,2,0.98
110,3,2,0.98
190,5,2,0.95
22,5,2,0.95
201,6,2,0.95
515,6,2,0.95
405,6,2,0.95
411,6,2,0.95
497,6,2,0.95
198,6,2,0.95
396,6,2,0.95
141,6,2,0.95
137,6,2,0.95
436,6,2,0.95
28,6,2,0.95
166,6,2,0.95
167,6,2,0.95
45,6,2,0.95
44,6,2,0.95
437,6,2,0.95
156,6,2,0.95
155,6,2,0.95
47,6,2,0.95
84,6,2,0.95
160,6,2,0.95
471,6,2,0.95
241,6,2,0.95
500,6,2,0.95
519,6,2,0.95
432,6,2,0.95
474,6,2,0.95
193,6,2,0.95
200,6,2,0.95
201,5,2,0.95
515,5,2,0.95
405,5,2,0.95
411,5,2,0.95
497,5,2,0.95
198,5,2,0.95
396,5,2,0.95
141,5,2,0.95
137,5,2,0.95
436,5,2,0.95
28,5,2,0.95
166,5,2,0.95
167,5,2,0.95
45,5,2,0.95
44,5,2,0.95
437,5,2,0.95
156,5,2,0.95
155,5,2,0.95
47,5,2,0.95
84,5,2,0.95
160,5,2,0.95
471,5,2,0.95
241,5,2,0.95
500,5,2,0.95
519,5,2,0.95
432,5,2,0.95
474,5,2,0.95
193,5,2,0.95
200,5,2,0.95
201,2,2,0.95
515,2,2,0.95
405,2,2,0.95
411,2,2,0.95
497,2,2,0.95
198,2,2,0.95
396,2,2,0.95
141,2,2,0.95
137,2,2,0.95
436,2,2,0.95
28,2,2,0.95
167,2,2,0.95
45,2,2,0.95
437,2,2,0.95
156,2,2,0.95
47,2,2,0.95
160,2,2,0.95
471,2,2,0.95
241,2,2,0.95
500,2,2,0.95
519,2,2,0.95
432,2,2,0.95
84,5,2,0.95
155,5,2,0.95
44,5,2,0.95
166,5,2,0.95
84,8,2,0.95
155,8,2,0.95
44,8,2,0.95
166,8,2,0.95
201,4,2,0.95
515,4,2,0.95
405,4,2,0.95
411,4,2,0.95
497,4,2,0.95
198,4,2,0.95
396,4,2,0.95
141,4,2,0.95
137,4,2,0.95
436,4,2,0.95
28,4,2,0.95
167,4,2,0.95
45,4,2,0.95
437,4,2,0.95
156,4,2,0.95
47,4,2,0.95
160,4,2,0.95
471,4,2,0.95
241,4,2,0.95
500,4,2,0.95
519,4,2,0.95
432,4,2,0.95
142,6,2,0.95
142,5,2,0.95
142,2,2,0.95
142,4,2,0.95
469,6,2,0.95
469,7,2,0.95
693,6,2,
694,6,2,
695,6,2,
696,6,2,
692,6,2,
177,6,2,
309,6,2,
89,6,2,
472,6,2,
407,6,2,
693,7,2,
694,7,2,
695,7,2,
696,7,2,
692,7,2,
177,7,2,
309,7,2,
89,7,2,
472,7,2,
407,7,2,
439,6,2,0.92
439,7,2,0.92
439,2,2,0.92
439,5,2,0.86
684,5,2,0.86
684,6,2,0.86
684,3,2,0.86
224,3,2,0.86
224,7,2,0.86
224,5,2,0.86
82,5,2,0.98
478,5,2,0.95
478,6,2,0.98
516,5,2,0.98
42,5,2,0.95
282,5,2,0.98
464,3,2,0.9
464,2,2,0.9
464,2,2,0.9
464,8,2,0.9
358,6,2,0.95
358,4,2,0.95
372,6,2,0.95
207,6,2,0.95
207,5,2,0.95
207,6,2,0.95
690,5,2,0.95
92,6,2,0.95
91,8,2,0.98
165,8,2,0.98
168,8,2,0.98
214,8,2,0.98
287,8,2,0.98
324,8,2,0.98
356,8,2,0.98
526,8,2,0.98
645,8,2,0.98
647,8,2,0.98
648,8,2,0.98
649,8,2,0.98
650,8,2,0.98
651,8,2,0.98
652,8,2,0.98
91,5,2,0.98
165,5,2,0.98
168,5,2,0.98
214,5,2,0.98
287,5,2,0.98
324,5,2,0.98
356,5,2,0.98
526,5,2,0.98
645,5,2,0.98
647,5,2,0.98
648,5,2,0.98
649,5,2,0.98
650,5,2,0.98
651,5,2,0.98
652,5,2,0.98
