product_id,factor_id,coefficient
10,3,0.6
77,3,0.6
27,3,0.58
33,3,0.69
31,3,0.88
14,3,0.67
32,3,0.88
68,3,0.82
67,3,
70,3,
66,3,
57,3,
87,3,3.17
62,3,2.45
42,3,3.17
53,3,3.17
49,3,-
90,3,-
91,3,2.9
30,3,-
61,3,
13,3,
59,3,
38,3,0.74
23,3,
76,3,2.2
8,3,2.2
82,3,0.6
26,3,0.79
65,3,0.78
78,3,0.79
64,3,0.92
22,3,0.92
21,3,0.78
72,3,1.37
3,3,
51,3,0.88
9,3,
37,3,-
74,3,0.83
47,3,0.92
83,3,0.5
11,3,2.1
75,3,
36,3,0.99
12,3,0.92
92,3,-
7,3,0.88
50,3,0.88
71,3,0.65
85,3,-
41,3,-
4,3,-
15,3,-
2,3,-
35,3,-
55,3,
84,3,-
1,3,
17,3,-
80,3,-
5,3,-
28,3,1.28
60,3,1.5
