product_id,factor_id,nutrient_id,coefficient
32,6,12,0.9
32,2,12,0.95
32,5,12,0.95
45,5,12,1.0
45,5,12,1.0
45,8,12,1.0
33,2,12,0.8
33,6,12,0.8
33,3,12,0.95
33,8,12,0.6
14,6,12,0.9
14,3,12,0.95
77,6,12,0.75
77,2,12,0.8
77,3,12,0.55
77,7,12,0.9
77,8,12,0.9
27,6,12,0.55
27,2,12,0.9
27,5,12,0.55
27,3,12,0.9
85,6,12,0.1
4,6,12,0.1
15,6,12,0.1
2,6,12,0.1
35,6,12,0.1
85,3,12,0.9
4,3,12,0.9
15,3,12,0.9
55,6,12,0.9
84,6,12,0.9
1,6,12,0.9
17,6,12,0.9
55,3,12,0.9
84,3,12,0.9
1,3,12,0.9
17,3,12,0.9
35,5,12,0.95
2,5,12,0.95
38,6,12,0.95
82,6,12,0.95
65,6,12,0.95
78,6,12,0.95
64,6,12,0.95
22,6,12,0.95
21,6,12,0.95
3,6,12,0.95
9,6,12,0.95
74,6,12,0.95
47,6,12,0.95
83,6,12,0.95
75,6,12,0.95
37,6,12,0.95
38,5,12,0.9
82,5,12,0.9
65,5,12,0.9
78,5,12,0.9
64,5,12,0.9
22,5,12,0.9
21,5,12,0.9
3,5,12,0.9
9,5,12,0.9
74,5,12,0.9
47,5,12,0.9
83,5,12,0.9
75,5,12,0.95
37,5,12,0.95
38,2,12,0.95
82,2,12,0.95
65,2,12,0.95
78,2,12,0.95
64,2,12,0.95
22,2,12,0.95
21,2,12,0.95
3,2,12,0.95
9,2,12,0.95
74,2,12,0.95
47,2,12,0.95
83,2,12,0.95
38,4,12,0.95
82,4,12,0.95
65,4,12,0.95
78,4,12,0.95
64,4,12,0.95
22,4,12,0.95
21,4,12,0.95
3,4,12,0.95
9,4,12,0.95
74,4,12,0.95
47,4,12,0.95
83,4,12,0.95
23,6,12,0.95
23,5,12,0.95
23,2,12,0.95
23,4,12,0.95
72,6,12,0.95
72,7,12,0.95
68,6,12,0.95
68,7,12,0.95
68,2,12,1.0
68,5,12,0.85
11,5,12,0.65
76,5,12,0.7
76,6,12,0.6
60,6,12,0.9
60,4,12,0.9
91,5,12,0.65
13,8,12,1.0
30,8,12,1.0
42,8,12,1.0
49,8,12,1.0
53,8,12,1.0
59,8,12,1.0
87,8,12,1.0
13,5,12,1.0
30,5,12,1.0
42,5,12,1.0
49,5,12,1.0
53,5,12,1.0
59,5,12,1.0
87,5,12,1.0
