nutrient_id,product_id,weight
1,3,0.077087
2,3,1.017
3,3,0.148
4,3,2.042
5,3,148.0
6,3,6.0
7,3,0.0
8,3,0.025
9,3,1.0
10,3,0.031
11,3,0.037
12,3,0.659
13,3,0.189
14,3,0.056
15,3,0.7
16,3,25.0
17,3,0.0
18,3,4.1
19,3,1.148
20,3,166.0
21,3,9.0
22,3,11.0
23,3,18.0
24,3,45.0
25,3,0.303
26,3,0.095
27,3,74.0
28,3,0.092
29,3,0.7
30,3,0.158
31,3,0.003
32,3,1.783
33,3,1.156
34,3,1.156
35,3,55.0
36,3,67.0
37,3,30.0
38,3,6.0
39,3,6.0
40,3,47.0
41,3,39.0
42,3,37.0
43,3,10.0
44,3,64.0
45,3,36.0
46,3,18.0
47,3,415.0
48,3,61.0
49,3,185.0
50,3,211.0
51,3,46.0
52,3,51.0
53,3,46.0
54,3,0.032
55,3,0.015
56,3,0.012
57,3,0.0
58,3,0.0
59,3,0.07100000000000001
60,3,0.012
61,3,0.059
62,3,0.0
63,3,2.22
64,3,0.17
65,3,0.008
66,3,
67,3,
68,3,
69,3,
70,3,
