bls_code,name,product_category_id,price,kilocalories
F201400,Абрикос сушеный (курага),18,550,238
F603101,Апельсин сырой целый,16,120,31
G510101,Баклажаны сырые целые,15,169,14
F503101,Банан сырой целый,16,87,60
B311000,Белый пшеничный хлеб,25,36,242
B309000,Белый хлеб без глютена,25,40,254
G740900,Фасоль огненно-красная консервированная с жидкостью,17,250,54
G740100,Фасоль огненно-красная сырая,20,300,84
G312101,Брокколи сырая целая,15,300,18
U100100,Говядина сырая,29,360,155
G760400,Горох зеленый сушеный ,20,350,276
G760900,Горошек зеленый консервированный с жидкостью,17,120,38
C327000,Гречневая крупа,22,100,342
V486100,Грудка индейки сырая,29,500,107
F130101,Груша сырая целая,16,71,48
R422000,Дрожжи,52,400,288
F840100,Изюм,18,400,304
M140200,"Йогурт   (общее понятие ) 1,5% жирности",40,120,49
M2F5300,"Йогуртовый напиток 3,5% жирности несладкий",41,200,68
R114000,Йодированная соль,51,420,0
G587100,Кабачки сырые,15,74,13
G342101,Капуста белокочанная сырая целая,15,17,19
K120101,Картофель  сырой целый,15,23,59
X530363,Квашеная капуста (6),17,100,81
M130200,"Кефир 1,5% жирности",41,50,65
G321100,Пекинская капуста сырая целая,15,33,13
V111100,Конина мякоть сырая,29,590,109
R470000,Крахмал картофельный,38,270,351
D050000,Крекеры,28,190,379
C347000,Кукурузная крупа,22,45,345
V416000,Куриная грудка  сырая,29,225,166
E110101,"Куриное яйцо, сырое, с скорлупой",32,2000,120
V410100,Курица сырая,29,225,166
R237000,Лавровый лист сушеный,52,6350,303
F601101,Лимон сырой целый,16,58,23
G250101,Лист петрушки сырой целый,15,24,31
G482100,Лук зеленый сырой,15,109,31
G480101,Лук репчатый сырой целый,15,29,25
E450000,Сочни из  пшеничной муки ,23,97,357
E460000,"Макаронные изделия с содержанием яиц, сухие",23,140,366
F606101,Мандарин сырой целиком,16,120,33
C116000,Манная крупа,22,60,329
Q610000,Масло сливочное,46,600,741
S120000,Мед,27,2800,306
M1A5200,"Молоко коровье 1,5% жирности безлактозное ультрапастеризованное (УВТ)",12,63,39
M110232,"Молоко коровье 1,5% жирности кипяченное",12,73,49
G620101,Морковь сырая целая,15,43,27
U104100,Мясо говядины сырое,29,420,107
C137000,Овсяная крупа,22,115,355
G520900,Огурец консервированный с жидкостью,17,97,8
G520101,Огурец сырой целый,15,58,9
B821000,Панировочные сухари,25,85,358
C148000,Перловая крупа,22,400,342
R456000,Пищевые дрожжи,52,6500,83
F402400,Плоды шиповника сушеные,18,350,153
Q320000,Подсолнечное масло,44,66,884
M400500,Полутвердый сыр  не менее 40% жирности  ,47,1090,313
N120000,Природная минеральная вода,8,390,0
C117000,Пшеничная крупа,22,187,329
C210000,Пшеничная мука,22,43,343
C332000,Пшено ,22,100,357
C3A1000,Рис круглозерновой ,22,54,351
S111000,Сахар белый,27,48,405
G613101,Свекла сырая целая,15,48,33
G540101,Сладкий перец сырой целый,15,164,16
M170800,Сливки 30% жирности,39,450,303
M172700,Сметана 20% жирности,39,248,204
T603100,Судак филе сырой,30,587,84
R422200,Сухие дрожжи,38,370,288
M713200,Творог не менее  10% жирности   ,42,220,83
R160000,Томатная паста,17,250,38
G560101,Помидоры сырые целые,15,119,17
B783012,Лаваш,25,120,321
G581101,Тыква сырая целая,15,43,17
G065100,Укроп сырой,15,159,55
H739400,Фасоль белая сушеная,20,140,241
U110100,Филе говядины сырое,29,355,121
G311101,Цветная капуста сырая целая,15,2500,14
B221000,Ржаной хлеб ,25,70,198
B271000,Ржано-пшеничный хлеб,25,100,225
N630900,Черный чай сухой,50,250,141
G490101,Чеснок сырой целый,15,160,123
G263100,Щавель сырой,15,2000,22
F120400,Яблоко очищенное сушеное,18,60,282
F110101,Яблоко сырое целое,16,60,56
F110600,Яблочный сок (без добавления сахара),1,240,57
C147000,Ячневая крупа,22,45,316
SK502,Сушки простые (Мука высшего сорта),25,235,339
SK505,Печенье Крокет,28,99,414
SK569,Хлопья «Геркулес» (овес),22,75,352
E432000,Спагетти сухие,23,170,362
G570902,"Кукуруза консервированная ,без жидкости,",17,180,76
